key_resp.corr	key_resp.rt	seqRT	ranRT
1	2.6253592	2.6253592	0.9886988
1	0.9037291	0.9037291	1.0059525
1	0.7033336	0.7033336	0.6523805
1	0.5721558	0.5721558	0.3891943
1	0.7292803	0.7292803	0.8233332
1	0.298682	0.298682	0.8957408
1	0.262048	0.262048	0.8706893
1	0.2818893	0.2818893	0.7371114
1	0.7200546	0.7200546	0.8309736
1	0.2484133	0.2484133	0.4650468
1	0.2426544	0.2426544	0.3641413
1	0.2700978	0.2700978	0.4751689
1	0.3529538	0.3529538	0.3259362
1	0.2262946	0.2262946	0.3506402
1	0.2500844	0.2500844	0.8621141
1	0.2284447	0.2284447	1.1560251
1	0.8140602	0.8140602	0.7919167
1	0.2706658	0.2706658	0.8401881
1	0.2388306	0.2388306	1.1234525
1	0.2813282	0.2813282	0.6827295
1	0.5588993	0.5588993	0.8773883
1	0.3365723	0.3365723	0.8669723
1	0.379575	0.379575	0.8560089
1	0.2942207	0.2942207	0.9863782
1	0.3794268	0.3794268	0.8320265
1	0.2885853	0.2885853	0.6648948
1	0.4385001	0.4385001	0.7312719
1	0.3901594	0.3901594	0.8128839
1	0.6821511	0.6821511	0.7549481
1	0.3201339	0.3201339	0.7631624
1	0.3798971	0.3798971	0.7670899
1	0.2844214	0.2844214	0.6237126
1	0.7860438	0.7860438	0.7627198
1	0.3434149	0.3434149	0.7209568
1	0.6019856	0.6019856	0.7774626
1	0.3258914	0.3258914	0.6938647
1	0.6998347	0.6998347	0.6609365
1	0.3114152	0.3114152	0.7135288
1	0.2736618	0.2736618	0.8221678
1	0.3493964	0.3493964	1.2037237
1	0.6606548	0.6606548	1.1361488
1	0.3609951	0.3609951	0.8979485
1	0.7061645	0.7061645	0.6530792
1	0.5976515	0.5976515	0.6925185
1	0.6100427	0.6100427	0.744886
1	0.2421402	0.2421402	0.860505
1	0.7211899	0.7211899	0.6885567
1	0.226398	0.226398	0.8624795
1	0.6927525	0.6927525	0.7526363
1	0.2919406	0.2919406	0.7234035
1	0.3175515	0.3175515	0.9679492
1	0.3182234	0.3182234	0.7538347
1	0.8303724	0.8303724	0.8732842
1	0.6271197	0.6271197	0.6802683
1	0.5077551	0.5077551	0.7970683
1	0.3406361	0.3406361	0.5988875
1	0.4704009	0.4704009	0.8714708
1	0.3179097	0.3179097	0.7566036
1	0.3426788	0.3426788	0.5753103
1	0.2744549	0.2744549	0.6076531
1	0.3507941	0.3507941	0.8233126
1	0.3028721	0.3028721	1.0657297
1	0.3696695	0.3696695	1.3443418
1	0.9850073	0.9850073	1.2077355
1	0.8394216	0.8394216	0.6926535
1	0.4916855	0.4916855	1.1317862
1	0.3002621	0.3002621	0.638855
1	0.3055179	0.3055179	0.8180586
1	0.6676074	0.6676074	0.8114404
1	0.2958626	0.2958626	0.6648131
1	0.2891999	0.2891999	0.9514551
1	0.3567439	0.3567439	0.7532112
1	0.7147922	0.7147922	0.9749936
1	0.291725	0.291725	0.8986249
1	0.2769394	0.2769394	0.7912085
1	0.2950791	0.2950791	1.4238014
1	0.3479888	0.3479888	1.1536162
1	0.2772211	0.2772211	0.8976184
1	0.3076864	0.3076864	0.7261502
1	0.2211222	0.2211222	0.5675015
1	0.344917	0.344917	1.0681016
1	1.3533709	1.3533709	0.9267885
1	1.2916908	1.2916908	0.8089564
1	0.2847066	0.2847066	0.6458797
1	0.4445974	0.4445974	0.6664474
1	0.2289726	0.2289726	0.8052832
1	0.327463	0.327463	0.7716845
1	0.3316539	0.3316539	0.7755887
1	0.7465365	0.7465365	0.5283936
1	0.3402462	0.3402462	0.8088882
1	0.3095468	0.3095468	0.6660223
1	0.3320323	0.3320323	0.5507759
1	0.3198521	0.3198521	0.3337768
1	0.3148908	0.3148908	0.7959462
1	0.2806379	0.2806379	1.2323777
1	0.308185	0.308185	0.7834697
1	0.5115277	0.5115277	0.8549008
1	0.2449179	0.2449179	0.8266083
1	0.2708594	0.2708594	0.8468589
1	0.3289315	0.3289315	0.833007
1	0.3027908	0.3027908	0.7552442
1	0.2811341	0.2811341	0.8943374
1	0.2694418	0.2694418	0.6560121
1	0.2372665	0.2372665	0.4628436
1	0.333543	0.333543	0.9497933
1	0.3379752	0.3379752	0.5653561
1	0.4093383	0.4093383	0.8738441
1	0.7102615	0.7102615	0.5800607
1	0.7212324	0.7212324	0.6445883
1	0.294904	0.294904	0.6146486
1	0.5069056	0.5069056	0.7659887
1	0.3249392	0.3249392	0.5533755
1	1.0108078	1.0108078	0.9741484
1	0.3404348	0.3404348	1.0065331
1	0.2772163	0.2772163	0.7517387
1	0.3142305	0.3142305	0.7761934
1	0.7053118	0.7053118	0.7814664
1	0.4515477	0.4515477	0.6916204
1	1.0432113	1.0432113	0.7016204
1	0.3929475	0.3929475	0.8108996
1	0.826888	0.826888	0.7012891
