trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.07402759999990849,,0.011719999999968422,5,0.07402759999990849,0.07402759999990849,0.03967449999981909,1.077176799999961,3.0119191999999657,[-0.07421875],[-0.3424479166666667],[1],[0],[0],[2.970650599999999],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
1,0,1,0,3.1741709999998875,,3.024850199999946,5,3.1741709999998875,3.1741709999998875,0.12787500000013097,4.2076741999999285,4.4766996000000745,[0.12760416666666666],[0.33984375],[1],[0],[0],[1.3256129000001238],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
2,0,2,0,4.540748200000053,,4.486975099999881,5,4.540748200000053,4.540748200000053,0.02907350000009501,5.574226299999964,5.644269899999927,[-0.1171875],[0.061197916666666664],[1],[0],[0],[1.1293762000000243],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
3,0,3,0,5.723943400000053,,5.654801299999917,10,5.723943400000053,5.723943400000053,0.045129000000088126,6.740546199999926,7.060323200000084,[-0.04296875],[0.04296875],[1],[0],[0],[1.3619138000001385],[],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
4,0,4,0,7.1071574000000055,,7.066693299999997,5,7.1071574000000055,7.1071574000000055,0.021810400000049412,8.108248900000035,9.44436339999993,[-0.006510416666666667],[-0.4010416666666667],[1],[0],[0],[2.3563879999999244],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
5,0,5,0,9.493371000000025,,9.454188899999963,5,9.493371000000025,9.493371000000025,0.028436499999997977,10.541108099999974,10.977600400000028,[-0.3502604166666667],[-0.18359375],[1],[0],[0],[1.496094899999889],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
6,0,6,0,11.025200999999925,,10.987969999999905,5,11.025200999999925,11.025200999999925,0.02584660000002259,12.07410979999986,12.477399599999899,[-0.4609375],[0.18880208333333334],[1],[0],[0],[1.4650380000000496],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
7,0,7,0,12.525887000000012,,12.487294199999951,5,12.525887000000012,12.525887000000012,0.027813599999944927,13.574083900000005,14.394166199999972,[0.3372395833333333],[-0.27734375],[1],[0],[0],[1.8804033000001255],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
8,0,8,0,14.44479299999989,,14.405514900000071,5,14.44479299999989,14.44479299999989,0.027994099999887112,15.474013499999955,16.094376600000032,[-0.3776041666666667],[-0.06770833333333333],[1],[0],[0],[1.6625556000001325],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
9,0,9,0,16.190139000000045,,16.104694299999892,10,16.190139000000045,16.190139000000045,0.06201369999985218,17.210411199999953,19.076234500000055,[-0.37890625],[-0.16015625],[1],[0],[0],[2.911036899999999],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
10,0,10,0,19.156676099999913,,19.086479900000086,10,19.156676099999913,19.156676099999913,0.04429780000009487,20.17379200000005,21.12719509999988,[0.3958333333333333],[-0.044270833333333336],[1],[0],[0],[1.997795300000007],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
11,0,11,0,21.193280100000038,,21.137152799999967,10,21.193280100000038,21.193280100000038,0.04110889999992651,22.223676599999862,22.692639399999962,[-0.1015625],[0.11197916666666667],[1],[0],[0],[1.5158706000001985],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
12,0,12,0,22.756600199999866,,22.696648099999948,10,22.756600199999866,22.756600199999866,0.03456019999998716,23.790201000000025,24.692792000000054,[-0.17708333333333334],[0.4427083333333333],[1],[0],[0],[1.9616095000001224],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
